movieId,tmdbId,userId,rating
1,862,1,4.0
1,862,5,4.0
1,862,7,4.5
1,862,15,2.5
1,862,17,4.5
1,862,18,3.5
1,862,19,4.0
1,862,21,3.5
1,862,27,3.0
1,862,31,5.0
1,862,32,3.0
1,862,33,3.0
1,862,40,5.0
1,862,43,5.0
1,862,44,3.0
1,862,45,4.0
1,862,46,5.0
1,862,50,3.0
1,862,54,3.0
1,862,57,5.0
1,862,63,5.0
1,862,64,4.0
1,862,66,4.0
1,862,68,2.5
1,862,71,5.0
1,862,73,4.5
1,862,76,0.5
1,862,78,4.0
1,862,82,2.5
1,862,86,4.0
1,862,89,3.0
1,862,90,3.0
1,862,91,4.0
1,862,93,3.0
1,862,96,5.0
1,862,98,4.5
1,862,103,4.0
1,862,107,4.0
1,862,112,3.0
1,862,119,3.5
1,862,121,4.0
1,862,124,4.0
1,862,130,3.0
1,862,132,2.0
1,862,134,3.0
1,862,135,4.0
1,862,137,4.0
1,862,140,3.0
1,862,141,4.0
1,862,144,3.5
1,862,145,5.0
1,862,151,5.0
1,862,153,2.0
1,862,155,3.0
1,862,156,4.0
1,862,159,4.5
1,862,160,4.0
1,862,161,4.0
1,862,166,5.0
1,862,167,3.5
1,862,169,4.5
1,862,171,5.0
1,862,177,5.0
1,862,178,4.0
1,862,179,4.0
1,862,182,4.0
1,862,185,4.0
1,862,186,4.0
1,862,191,4.0
1,862,193,2.0
1,862,200,3.5
1,862,201,5.0
1,862,202,4.0
1,862,206,5.0
1,862,213,3.5
1,862,214,3.0
1,862,216,3.0
1,862,217,4.0
1,862,219,3.5
1,862,220,5.0
1,862,223,3.5
1,862,226,3.5
1,862,229,5.0
1,862,232,3.5
1,862,233,3.0
1,862,234,5.0
1,862,239,4.0
1,862,240,5.0
1,862,247,5.0
1,862,249,4.0
1,862,252,4.5
1,862,254,4.5
1,862,263,4.0
1,862,264,4.0
1,862,266,2.0
1,862,269,5.0
1,862,270,5.0
1,862,273,5.0
1,862,274,4.0
1,862,275,5.0
1,862,276,4.0
1,862,277,4.0
1,862,279,3.0
1,862,280,4.5
1,862,282,4.5
1,862,283,3.0
1,862,288,4.5
1,862,290,4.0
1,862,291,4.0
1,862,292,4.0
1,862,293,3.0
1,862,298,2.0
1,862,304,5.0
1,862,307,4.0
1,862,314,3.0
1,862,322,3.5
1,862,323,3.5
1,862,328,5.0
1,862,330,4.0
1,862,332,4.0
1,862,334,3.5
1,862,336,4.0
1,862,337,4.0
1,862,339,4.0
1,862,341,5.0
1,862,347,5.0
1,862,350,4.0
1,862,353,5.0
1,862,357,5.0
1,862,359,4.0
1,862,364,5.0
1,862,367,5.0
1,862,372,3.0
1,862,373,3.0
1,862,378,4.5
1,862,380,5.0
1,862,381,3.5
1,862,382,4.5
1,862,385,4.0
1,862,389,5.0
1,862,391,3.0
1,862,396,5.0
1,862,399,4.0
1,862,401,3.5
1,862,411,5.0
1,862,412,2.0
1,862,414,4.0
1,862,420,4.0
1,862,422,4.0
1,862,432,2.5
1,862,434,4.0
1,862,436,4.0
1,862,438,4.5
1,862,443,4.0
1,862,448,5.0
1,862,451,5.0
1,862,453,5.0
1,862,456,5.0
1,862,460,4.5
1,862,462,1.5
1,862,468,4.0
1,862,469,4.0
1,862,470,4.0
1,862,471,5.0
1,862,474,4.0
1,862,476,4.0
1,862,477,4.0
1,862,480,3.0
1,862,483,4.0
1,862,484,4.5
1,862,488,4.5
1,862,490,3.5
1,862,492,4.0
1,862,500,4.0
1,862,504,4.0
1,862,509,4.0
1,862,514,4.0
1,862,517,4.0
1,862,522,3.0
1,862,524,4.0
1,862,525,4.0
1,862,528,2.5
